player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,S,OREGON ST,6,32,0,265,0,,,80.0,,,0,0,,45.8,0,,0.0,0,0,0.0,0,4,12.5,5,0,1,0,0,0,0,0.0,,0,0,,,93.8,,,0,0,,60.8,0,,0.0,0,0,0.0,0,15,46.9,16,0,3,0,0,0,0,0.0,
James Camden,53418,LB,W MICHIGAN,7,136,0,347,0,11.0,100.0,86.4,16.0,16.0,0,0,0.0,52.2,0,18,,0,0,158.3,1,19,14.0,22,1,0,1,1,18,7,1.1,18.0,0,2,-0.6,71.4,79.2,15.0,10.7,0,0,0.0,82.0,0,23,0.0,0,0,80.1,5,80,58.8,101,4,4,7,0,31,34,0.4,6.2
Iesa Jarmon,53981,CB,AKRON,1,8,0,102,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,100.0,100.0,4.0,4.0,0,0,0.0,52.7,0,12,,0,0,156.3,1,4,50.0,4,0,0,1,1,12,0,3.0,12.0
Shaun Myers,62235,LB,COLORADO,6,35,0,143,1,-2.7,100.0,79.2,5.7,5.7,0,0,0.0,52.7,0,19,0.0,0,0,139.6,3,19,54.3,24,0,1,3,1,24,32,1.4,8.0,0,0,9.7,66.7,100.0,7.0,4.7,0,0,0.0,78.1,0,8,0.0,0,0,70.1,2,14,40.0,14,1,2,3,0,9,8,0.6,4.5
Mister Williams,70521,LB,S DIEGO ST,6,115,0,284,0,0.3,50.0,64.5,9.0,4.5,0,1,25.0,61.4,0,5,0.0,0,1,56.3,2,20,17.4,31,0,1,4,0,5,9,0.3,2.5,0,0,3.8,62.5,96.6,16.2,10.1,0,1,12.5,56.8,0,44,50.0,1,0,106.3,5,85,73.9,88,1,1,8,0,113,86,1.4,22.6
Korey Foreman,70831,ED,FRESNO ST,7,11,0,169,0,,,14.5,,,1,1,,72.6,0,,100.0,1,1,0.0,0,8,72.7,55,1,0,0,0,0,0,0.0,,0,0,11.5,100.0,5.3,1.5,1.5,0,0,0.0,51.9,0,17,100.0,1,0,118.8,2,3,27.3,57,1,0,2,0,33,10,11.0,16.5
Calvin Pitcher,70877,LB,UAB,6,42,0,321,1,,,62.5,,,0,0,,64.1,0,,0.0,0,0,0.0,0,5,11.9,8,1,0,0,0,0,0,0.0,,0,0,13.0,50.0,82.9,28.0,14.0,0,0,0.0,49.5,0,65,66.7,2,0,95.8,1,29,69.0,35,0,1,2,0,65,59,2.3,65.0
Tate Romney,70946,LB,ARIZONA ST,6,31,0,110,0,,,83.3,,,0,0,,62.9,0,,,0,0,0.0,0,5,16.1,6,0,0,0,0,0,0,0.0,,0,0,1.0,50.0,88.5,23.0,11.5,0,1,50.0,61.5,0,9,50.0,1,1,62.5,1,23,74.2,26,0,1,2,0,9,13,0.4,9.0
Domani Jackson,71370,CB,ALABAMA,6,127,0,103,0,13.4,80.0,100.0,5.8,4.6,0,0,0.0,47.2,0,38,0.0,0,0,158.3,4,25,19.7,25,0,4,5,1,78,13,3.4,19.5,0,1,9.7,33.3,98.9,91.0,30.3,0,1,33.3,65.0,0,6,0.0,0,1,42.4,1,94,74.0,95,1,2,3,0,6,0,0.1,6.0
Aaron Smith,71596,CB,NEW MEXICO,1,13,0,241,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,1,0,0,0,0,0,0,0.0,,0,0,2.0,100.0,100.0,3.0,3.0,0,0,0.0,55.8,0,7,0.0,0,0,89.6,2,6,46.2,6,0,1,2,0,11,7,1.8,5.5
