player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Danny Scudero,170781,WR,S JOSE ST,6,89,0,285,16.0,1,50.0,20.0,1,5,18.2,4,13,0,42.4,84.2,0,46,0.0,0,85,18,92.9,79,124.2,36,45.6,5,353,95,5.3,19.6,4.47,0,15.0,5,55.3,50.0,2,4,16.0,4,13,1,45.6,70.2,0,72,0.0,0,117,21,95.7,112,110.0,38,33.9,2,404,139,6.6,19.2,3.61
Jordyn Tyson,157690,WR,ARIZONA ST,6,74,0,110,11.1,2,63.0,40.0,2,5,0.0,0,13,0,85.5,90.6,0,36,0.0,0,65,17,92.3,60,123.3,27,45.0,4,189,62,3.6,11.1,3.15,0,7.9,2,70.6,25.0,1,4,4.0,1,12,1,78.4,70.2,1,57,0.0,0,138,24,92.0,127,88.7,34,26.8,1,247,137,5.7,10.3,1.94
Easton Messer,163051,WR,FAU,6,74,0,165,7.1,1,72.2,50.0,1,2,0.0,0,9,0,82.7,77.2,0,35,1.7,1,58,13,93.1,54,91.2,18,33.3,0,125,67,5.2,9.6,2.31,0,6.3,3,72.3,66.7,2,3,2.9,1,12,1,82.2,68.3,2,55,0.0,0,146,34,98.6,144,77.1,47,32.6,1,286,166,4.9,8.4,1.99
Pofele Ashlock,158166,WR,HAWAII,7,72,0,180,9.4,3,65.5,100.0,1,1,9.5,2,15,0,74.4,67.4,1,38,0.0,0,133,19,94.0,125,105.1,29,23.2,3,197,33,1.7,10.4,1.58,0,8.7,3,56.7,20.0,1,5,19.0,4,6,0,40.8,53.4,1,47,0.0,0,148,17,95.9,142,70.7,30,21.1,1,174,52,3.1,10.2,1.23
Trent Walker,146340,WR,OREGON ST,7,70,0,265,9.1,0,68.2,50.0,2,4,11.8,2,7,0,57.1,62.7,0,24,0.0,0,84,15,92.9,78,85.4,22,28.2,0,140,54,3.6,9.3,1.79,0,11.8,5,77.4,66.7,2,3,7.7,2,18,0,68.4,81.1,2,37,0.0,0,115,24,97.4,112,91.8,31,27.7,0,390,117,4.9,16.3,3.48
Skyler Bell,145163,WR,UCONN,6,67,0,146,13.2,1,47.4,25.0,1,4,10.0,1,5,0,61.0,67.4,0,25,0.0,0,52,9,90.4,47,97.0,19,40.4,2,93,34,3.8,10.3,1.98,0,6.6,4,79.5,71.4,5,7,3.1,1,12,1,80.9,72.6,0,80,0.0,0,119,31,96.6,115,115.8,39,33.9,1,380,262,8.5,12.3,3.3
Ted Hurst,187922,WR,GA STATE,6,65,0,175,11.8,1,35.3,75.0,3,4,33.3,3,5,0,22.9,63.0,2,52,0.0,0,55,6,94.5,52,39.2,17,32.7,1,113,51,8.5,18.8,2.17,0,10.7,11,65.7,60.0,3,5,8.0,2,14,0,66.7,75.6,1,52,0.0,0,124,23,96.0,119,89.2,35,29.4,1,292,143,6.2,12.7,2.45
Makai Lemon,174150,WR,USC,6,56,0,326,8.5,3,87.5,100.0,1,1,0.0,0,5,0,78.5,90.1,0,62,0.0,0,24,7,95.8,23,158.3,8,34.8,3,140,100,14.3,20.0,6.09,0,10.8,9,76.3,66.7,2,3,3.3,1,17,0,80.6,88.8,1,74,0.0,0,122,29,95.9,117,120.1,38,32.5,2,436,170,5.9,15.0,3.73
Jacquon Gibson,158762,WR,UMASS,5,55,0,216,10.6,0,33.3,50.0,1,2,25.0,1,2,0,39.5,54.5,0,9,0.0,0,32,3,96.9,31,42.4,9,29.0,0,19,2,0.7,6.3,0.61,0,8.8,6,71.4,100.0,5,5,6.3,2,16,0,72.1,77.9,0,50,0.0,0,109,30,96.3,105,95.1,42,40.0,0,338,131,4.4,11.3,3.22
O'Mega Blake,146913,WR,ARKANSAS,6,54,0,111,12.3,2,38.5,100.0,1,1,16.7,1,2,0,49.8,55.7,0,27,0.0,0,64,5,96.9,62,54.6,13,21.0,0,64,31,6.2,12.8,1.03,0,12.0,6,72.7,44.4,4,9,0.0,0,18,0,88.0,82.3,2,33,0.0,0,124,24,92.7,115,77.6,33,28.7,0,318,106,4.4,13.3,2.77
Lewis Bond,143817,WR,BOSTON COL,6,54,0,121,8.0,3,80.0,100.0,1,1,0.0,0,5,0,79.3,65.6,0,17,0.0,0,63,8,95.2,60,98.8,10,16.7,0,77,45,5.6,9.6,1.28,0,6.2,5,83.8,100.0,1,1,3.1,1,13,0,80.9,69.7,0,32,0.0,0,130,31,96.9,126,99.1,37,29.4,0,288,128,4.1,9.3,2.29
CJ Williams,158471,WR,STANFORD,6,53,0,300,10.0,3,60.0,71.4,5,7,14.3,2,8,0,51.7,71.0,0,29,0.0,0,71,12,95.8,68,84.6,20,29.4,0,156,54,4.5,13.0,2.29,0,11.5,3,69.0,50.0,3,6,0.0,0,14,0,86.3,72.0,0,36,0.0,0,119,20,95.8,114,102.4,29,25.4,1,218,28,1.4,10.9,1.91
Ian Strong,170319,WR,RUTGERS,5,53,0,278,12.4,2,46.7,57.1,4,7,0.0,0,7,0,78.5,66.6,0,43,0.0,0,78,7,92.3,72,97.6,15,20.8,1,124,31,4.4,17.7,1.72,0,12.5,4,75.8,58.3,7,12,0.0,0,21,0,87.7,85.6,0,37,0.0,0,130,25,95.4,124,123.4,33,26.6,1,381,83,3.3,15.2,3.07
Chase Hendricks,171348,WR,OHIO,6,53,0,259,14.8,1,70.6,80.0,4,5,0.0,0,10,1,82.2,83.2,0,67,0.0,0,57,12,91.2,52,152.6,17,32.7,3,216,66,5.5,18.0,4.15,0,11.4,0,67.7,57.1,4,7,4.5,1,13,0,75.9,79.7,1,43,0.0,0,124,21,96.8,120,99.8,31,25.8,1,327,97,4.6,15.6,2.73
Camden Brown,157049,WR,GA SOUTHRN,6,52,0,174,18.0,0,42.9,66.7,4,6,0.0,0,5,0,78.5,72.6,0,32,0.0,0,58,6,93.1,54,95.5,14,25.9,1,114,5,0.8,19.0,2.11,0,13.4,5,69.7,75.0,6,8,4.2,1,16,0,76.5,79.2,1,44,0.0,0,139,23,100.0,139,122.4,33,23.7,3,353,104,4.5,15.3,2.54
Jayce Brown,173093,WR,KANSAS ST,7,52,0,199,15.8,0,50.0,,0,0,20.0,1,3,0,45.4,64.4,0,31,0.0,0,32,4,96.9,31,112.0,8,25.8,1,55,5,1.3,13.8,1.77,0,10.6,1,65.5,33.3,2,6,9.5,2,4,0,62.7,64.1,0,44,0.0,0,99,19,98.0,97,107.0,29,29.9,2,190,44,2.3,10.0,1.96
Jacob De Jesus,174068,WR,CAL,6,52,0,130,11.6,1,64.7,0.0,0,2,8.3,1,8,0,66.1,73.8,1,30,0.0,0,60,11,86.7,52,96.9,17,32.7,2,107,37,3.4,9.7,2.06,0,7.7,5,58.6,40.0,2,5,10.5,2,6,0,60.2,56.3,1,22,0.8,1,122,17,95.9,117,56.0,29,24.8,0,135,80,4.7,7.9,1.15
Beau Sparks,173021,WR,TEXAS ST,6,52,0,314,10.7,0,83.3,100.0,2,2,9.1,1,4,1,62.9,65.0,0,33,0.0,0,32,10,93.8,30,137.5,12,40.0,3,90,31,3.1,9.0,3.0,0,12.9,7,69.7,0.0,0,3,0.0,0,10,0,87.0,72.2,0,73,0.0,0,132,23,92.4,122,109.5,33,27.0,1,311,141,6.1,13.5,2.55
Elijah Sarratt,159499,WR,INDIANA,6,52,0,190,11.8,3,62.5,12.5,1,8,0.0,0,12,0,83.8,85.5,0,49,0.0,0,66,15,90.9,60,131.4,24,40.0,4,217,81,5.4,14.5,3.62,0,8.9,3,83.3,50.0,1,2,9.1,2,17,0,63.6,82.5,0,29,0.0,0,94,20,97.9,92,130.9,24,26.1,1,290,125,6.3,14.5,3.15
Devin Voisin,97427,WR,S ALABAMA,6,51,0,288,8.9,2,80.0,100.0,1,1,0.0,0,4,0,79.3,71.7,0,28,0.0,0,43,8,83.7,36,138.8,10,27.8,1,93,42,5.3,11.6,2.58,0,11.2,3,68.0,50.0,1,2,0.0,0,11,0,84.7,81.4,1,65,0.0,0,85,17,96.5,82,111.8,25,30.5,2,258,105,6.2,15.2,3.15
Devin McCuin,176494,WR,UTSA,6,51,0,331,12.1,4,43.5,100.0,2,2,9.1,1,8,0,64.6,72.3,2,18,0.0,0,70,10,92.9,65,47.9,23,35.4,2,93,40,4.0,9.3,1.43,0,7.5,6,78.3,40.0,2,5,5.3,1,9,0,73.0,70.2,0,52,0.0,0,90,18,93.3,84,135.0,23,27.4,2,217,150,8.3,12.1,2.58
Jeremiah Smith,183710,WR,OHIO STATE,6,51,0,260,12.1,2,58.3,0.0,0,4,12.5,1,6,0,56.4,72.4,0,19,0.0,0,36,7,94.4,34,113.2,12,35.3,2,66,20,2.9,9.4,1.94,0,7.6,5,91.2,100.0,2,2,3.1,1,18,0,80.9,83.2,0,87,0.0,0,103,31,96.1,99,158.0,34,34.3,4,428,188,6.1,13.8,4.32
