player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Danny Scudero,170781,WR,S JOSE ST,6,89,0,285,0,-2.6,1,88.9,,0,0,11.1,1,4,0,57.7,85.3,0,10,0.0,0,18,8,100.0,18,121.5,9,50.0,2,33,52,6.5,4.1,1.83,13.6,9,59.5,37.5,3,8,17.0,9,27,1,41.8,76.5,0,70,0.0,0,234,44,94.9,222,124.0,74,33.3,7,725,210,4.8,16.5,3.27
Jordyn Tyson,157690,WR,ARIZONA ST,6,74,0,110,0,-2.6,2,91.7,,0,0,0.0,0,5,1,98.1,80.4,0,19,0.0,0,45,11,93.3,42,120.8,12,28.6,1,76,106,9.6,6.9,1.81,10.5,1,60.9,50.0,1,2,6.7,1,6,0,90.6,84.1,0,36,0.0,0,66,14,89.4,59,90.7,23,39.0,1,129,64,4.6,9.2,2.19
Easton Messer,163051,WR,FAU,6,74,0,165,0,-2.0,1,82.6,,0,0,0.0,0,5,1,99.9,74.1,0,18,0.0,0,42,19,100.0,42,82.2,23,54.8,0,86,147,7.7,4.5,2.05,6.1,3,75.7,57.1,4,7,1.9,1,23,1,91.1,74.9,3,55,0.4,1,227,53,95.2,216,81.5,70,32.4,1,495,253,4.8,9.3,2.29
Pofele Ashlock,158166,WR,HAWAII,7,72,0,180,0,-1.3,3,87.5,,0,0,0.0,0,2,0,94.5,66.1,0,8,0.0,0,26,7,100.0,26,121.9,8,30.8,1,30,38,5.4,4.3,1.15,8.8,7,58.3,28.6,2,7,14.6,6,21,0,60.3,61.7,2,47,0.0,0,311,35,94.5,294,94.0,60,20.4,6,344,94,2.7,9.8,1.17
Trent Walker,146340,WR,OREGON ST,7,70,0,265,0,-1.2,1,100.0,,0,0,0.0,0,1,0,92.6,51.5,0,9,0.0,0,38,5,100.0,38,89.2,5,13.2,0,27,33,6.6,5.4,0.71,11.0,3,64.0,25.0,1,4,15.8,3,11,0,72.6,66.3,2,30,0.0,0,109,16,95.4,104,56.4,25,24.0,0,206,80,5.0,12.9,1.98
Skyler Bell,145163,WR,UCONN,6,67,0,146,0,-2.6,2,93.8,,0,0,0.0,0,2,1,99.1,62.4,0,12,0.0,0,34,15,97.1,33,86.5,16,48.5,0,76,117,7.8,5.1,2.3,5.3,0,84.0,50.0,1,2,4.5,1,9,2,85.3,79.1,0,46,0.0,0,74,21,94.6,70,128.8,25,35.7,2,213,140,6.7,10.1,3.04
Ted Hurst,187922,WR,GA STATE,6,65,0,175,0,-2.7,5,100.0,,0,0,0.0,0,3,0,96.5,84.2,0,14,0.0,0,31,10,93.5,29,92.1,10,34.5,0,61,88,8.8,6.1,2.1,11.9,4,41.7,50.0,2,4,28.6,2,5,0,47.2,73.6,1,27,0.0,0,39,5,92.3,36,56.3,12,33.3,1,76,20,4.0,15.2,2.11
Makai Lemon,174150,WR,USC,6,56,0,326,0,-1.9,5,100.0,,0,0,0.0,0,6,0,97.6,92.4,0,21,0.0,0,38,12,100.0,38,109.0,12,31.6,0,122,145,12.1,10.2,3.21,12.4,10,69.4,66.7,4,6,0.0,0,18,0,90.0,93.5,1,74,0.0,0,114,25,94.7,108,140.0,36,33.3,5,469,214,8.6,18.8,4.34
Jacquon Gibson,158762,WR,UMASS,5,55,0,216,0,-2.6,4,88.9,,0,0,11.1,1,1,0,57.7,57.8,0,11,0.0,0,19,8,100.0,19,79.2,9,47.4,0,16,37,4.6,2.0,0.84,3.0,3,100.0,100.0,1,1,0.0,0,4,0,71.1,72.0,0,13,0.0,0,26,8,100.0,26,91.7,8,30.8,0,48,24,3.0,6.0,1.85
O'Mega Blake,146913,WR,ARKANSAS,6,54,0,111,0,0.5,0,100.0,,0,0,0.0,0,1,0,86.7,63.1,0,22,0.0,0,13,2,100.0,13,118.8,2,15.4,0,26,25,12.5,13.0,2.0,23.5,1,25.0,0.0,0,1,0.0,0,1,0,87.6,77.6,0,33,0.0,0,15,1,93.3,14,61.5,4,28.6,0,33,7,7.0,33.0,2.36
